model,acc,nmi,ari
log_ae_wiki_10.0.txt,0.5235,0.5007,0.3009
log_ae_wiki_5.0.txt,0.5235,0.4994,0.3006
log_ae_wiki_7.0.txt,0.5235,0.5041,0.3003
log_ae_wiki_0.03.txt,0.5222,0.4999,0.301
log_ae_wiki_0.08.txt,0.5214,0.5066,0.301
log_ae_wiki_100.0.txt,0.5198,0.4989,0.3036
log_ae_wiki_0.1.txt,0.5198,0.4988,0.3031
log_ae_wiki_0.06.txt,0.5198,0.5007,0.3029
log_ae_wiki_0.04.txt,0.5198,0.5013,0.3021
log_ae_wiki_0.01.txt,0.5198,0.4992,0.302
log_ae_wiki_0.02.txt,0.5193,0.4974,0.3093
log_ae_wiki_0.07.txt,0.5193,0.5066,0.3085
log_ae_wiki_0.05.txt,0.5193,0.4995,0.3085
log_ae_wiki_0.09.txt,0.5193,0.5003,0.3081
log_ae_wiki_0.3.txt,0.5193,0.4991,0.3075
log_ae_wiki_0.7.txt,0.5193,0.4995,0.3072
log_ae_wiki_3.0.txt,0.5193,0.5041,0.3069
log_ae_wiki_1.0.txt,0.5193,0.4983,0.3055
log_ae_wiki_0.0.txt,0.5193,0.5065,0.305
log_vae_wiki_0.1.txt,0.5143,0.4733,0.3329
log_ae_wiki_0.5.txt,0.5143,0.4995,0.3095
log_vae_wiki_0.07.txt,0.5135,0.4737,0.3332
log_vae_wiki_0.06.txt,0.5131,0.4739,0.3351
log_vae_wiki_0.09.txt,0.5131,0.4751,0.3346
log_vae_wiki_100.0.txt,0.5119,0.4764,0.3359
log_vae_wiki_0.01.txt,0.5119,0.4759,0.3353
log_vae_wiki_0.0.txt,0.5114,0.474,0.3367
log_vae_wiki_7.0.txt,0.5114,0.4745,0.3367
log_vae_wiki_3.0.txt,0.5114,0.4748,0.3361
log_vae_wiki_0.7.txt,0.511,0.4726,0.3378
log_vae_wiki_5.0.txt,0.5106,0.4761,0.3382
log_vae_wiki_1.0.txt,0.5102,0.475,0.3396
log_vae_wiki_0.5.txt,0.5102,0.4751,0.3386
log_vae_wiki_10.0.txt,0.5098,0.4759,0.34
log_vae_wiki_0.02.txt,0.5098,0.4726,0.34
log_vae_wiki_0.05.txt,0.5094,0.4726,0.34
log_vae_wiki_0.03.txt,0.5089,0.4731,0.3401
log_vae_wiki_0.04.txt,0.5089,0.4755,0.34
log_vae_wiki_0.08.txt,0.5085,0.4726,0.3406
log_vae_wiki_0.3.txt,0.5077,0.4736,0.3436
